# Colorado Snow Depth, March 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Missing: M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Trace: T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
US1COAR0249,AURORA 5.7 E,ARAPAHOE,CO,5635,39.69,-104.71,3.5,3,2.5,5,3.5,2,1,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0207,AURORA 7.3 SE,ARAPAHOE,CO,5916,39.62,-104.72,8,7.5,7,10.5,8.5,7.5,5.5,4.5,3.4,T,T,T,M,M,M,M,M,M,M,M,M,M,0,0,0.9,3.7,0,0,0,0,0
US1COEG0031,AVON 1.1 SE,EAGLE,CO,7601,39.64,-106.52,M,6.5,M,M,M,M,M,M,5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M
USC00050454,BAILEY,PARK,CO,7750,39.41,-105.48,19,19,18,19,18,17,15,14,14,14,13,12,12,12,11,11,9,8,8,8,7,5,2,2,0,3,0,0,0,0,0
US1COPK0091,BAILEY 4.5 NE,PARK,CO,8417,39.45,-105.42,4,M,M,2,1,T,T,M,M,M,M,M,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COPK0069,BAILEY 6.4 NNW,PARK,CO,8791,39.49,-105.52,M,5.5,M,M,M,M,M,M,2,M,M,M,M,M,M,0,M,M,M,M,M,M,0,1.2,T,1.5,M,M,M,0,M
US1COEG0006,BASALT 5.8 E,EAGLE,CO,7162,39.38,-106.92,2,6,3,4.5,2.5,2,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,M,M,M,0.5,0,M,M,M,M,M,M
US1COLP0098,BAYFIELD 6.2 N,LAPLATA,CO,7445,37.32,-107.6,13,10,8,8,7,6,5,3,1,T,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COLP0035,BAYFIELD 7.0 N,LAPLATA,CO,8198,37.34,-107.61,14,12,11,9,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0085,BELLVUE 10.3 W,LARIMER,CO,7190,40.64,-105.37,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.2,0.6,M,M,M,M,M,M
US1COLR0252,BELLVUE 1 NW,LARIMER,CO,5245,40.63,-105.18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0004,BELLVUE 5.9 W,LARIMER,CO,6612,40.6,-105.28,9.5,M,M,12.3,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0072,BENNETT 5.6 S,ARAPAHOE,CO,5619,39.68,-104.41,M,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COJF0052,BERGEN PARK 1.1 N,JEFFERSON,CO,7721,39.71,-105.36,M,M,M,9,8,M,M,M,M,M,M,M,M,M,M,M,M,M,1,M,M,M,M,1,M,M,M,M,M,M,M
US1COLR0922,BERTHOUD 4.4 WSW,LARIMER,CO,5180,40.28,-105.16,7.5,7,5.5,7.5,7,6,4,2.5,1,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COLR0035,BERTHOUD 5.2 SW,LARIMER,CO,5170,40.26,-105.16,3,M,M,6,5,M,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COLR0752,BERTHOUD 5.3 WSW,LARIMER,CO,5197,40.27,-105.17,M,M,M,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00055795,BEULAH (MPEC),PUEBLO,CO,6625,38.05,-105,19,17,13,15,14,13,12,11,10,9,8,6,4,3,2,1,T,T,0,0,0,0,0,0,0,3,0,0,0,0,0
USC00050754,BLACK CANYON OF THE GUNNISON,MONTROSE,CO,8149,38.55,-107.69,27,27,25,29,28,27,25,23,22,22,22,20,19,18,17,16,14,12,12,10,8,6,5,5,6,5,0,0,0,0,0
US1COEP0024,BLACK FOREST 2.1 SSE,ELPASO,CO,7243,38.98,-104.69,8,8,6.5,7,7.5,6.5,6,5.5,6,5,3.5,2,0.5,T,T,T,T,T,1,T,T,T,T,0.5,T,1.5,T,M,M,M,M
US1COEP0066,BLACK FOREST 3.9 NNE,ELPASO,CO,7518,39.1,-104.64,9,9,7.5,9.5,9.5,M,7.5,6,6,4.5,4,2,T,T,M,M,M,M,1.5,3,T,M,M,T,M,3,T,M,M,M,M
USC00050756,BLACK FOREST 6WNW,ELPASO,CO,6955,39.03,-104.8,7,6,4,6,5,4,2,1,T,T,T,T,T,T,0,0,0,0,0,0,0,0,0,T,0,2,0,0,0,0,0
US1COWE0254,BLACK HOLLOW RESERVOIR 3.0 WSW,WELD,CO,5111,40.59,-104.93,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M
USC00050797,BLUE MESA LAKE,GUNNISON,CO,7566,38.47,-107.17,19,19,18,16,15,15,15,15,15,14,14,14,13,12,11,11,10,8,4,1,0,0,0,0,0,0,0,0,0,0,0
US1COLA0013,BONCARBO 1.5 WSW,LASANIMAS,CO,7242,37.21,-104.73,5.5,5,2.5,1.5,1.5,1,T,T,T,T,T,T,T,T,T,T,M,M,M,M,M,M,M,M,M,1,M,M,M,M,M
USC00050825,BONHAM RESERVOIR,MESA,CO,9850,39.1,-107.9,M,M,M,71,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,52,M,M,M,M,M,M
USC00050834,BONNY DAM 2NE,YUMA,CO,3716,39.66,-102.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,0,0,0
USC00050839,BOONE 9NNW,PUEBLO,CO,4793,38.37,-104.31,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USC00050848,BOULDER,BOULDER,CO,5483,39.99,-105.27,10,7,10,12,9,7,5,4,2,T,T,T,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COBO0288,BOULDER 0.5 NNE,BOULDER,CO,5304,40.03,-105.25,6,6,5,8,9,6,4,3,3,1,M,T,T,0,M,M,M,M,0,M,0,0,M,0,0,0,M,0,M,M,M
US1COBO0072,BOULDER 1.3 NW,BOULDER,CO,5376,40.02,-105.27,6,5.5,4.5,9,8.5,6,4,2,1,T,T,T,M,0,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M
US1COBO0014,BOULDER 1.6 S,BOULDER,CO,5471,39.99,-105.26,10,10,7,12.5,12,9,M,5,4,2,M,T,M,0,0,0,0,M,M,M,0,0,0,0,0,0,0,0,0,0,M
US1COBO0165,BOULDER 1.8 ESE,BOULDER,CO,5265,40.01,-105.23,8,7.5,M,10,M,M,M,M,3.5,M,M,M,M,M,0,0,M,M,M,M,M,M,0,M,M,0,M,M,M,0,M
US1COBO0030,BOULDER 1.9 SE,BOULDER,CO,5367,39.99,-105.24,8,7,6,9,8,7,4.5,3,2,T,T,T,T,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0
US1COBO0380,BOULDER 2.0 W,BOULDER,CO,5438,40.02,-105.29,8,7.5,6,12,9,7.5,M,M,2.5,2,1,T,0,0,0,0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M
US1COBO0298,BOULDER 2.5 S,BOULDER,CO,5390,39.99,-105.26,M,M,M,11.5,9,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0004,BOULDER 2.9 S,BOULDER,CO,5396,39.99,-105.26,10,10,8,12,12,9,7,5,4,2,M,T,T,0,0,0,M,M,0,M,0,0,0,0,0,0,0,0,0,0,M
US1COBO0120,BOULDER 3.0 E,BOULDER,CO,5265,40.01,-105.21,M,9,M,12,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0286,BOULDER 3.5 S,BOULDER,CO,5560,39.98,-105.26,8,M,M,11,10,M,M,M,M,M,M,M,T,T,T,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0159,BOULDER 3.6 WNW,BOULDER,CO,6904,40.04,-105.33,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.5,M,M,M,M,M,M
US1COBO0282,BOULDER 4.4 S,BOULDER,CO,5439,39.96,-105.24,8,6,5,8.5,8,7,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0019,BOULDER 4.6 E,BOULDER,CO,5314,40,-105.17,8,M,M,7.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M
US1COBO0067,BOULDER 4.7 E,BOULDER,CO,5324,40,-105.18,7,6.5,5.5,8.5,7.5,6.5,4,3,2.5,1,T,T,T,1,T,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COBO0220,BOULDER 4.7 ENE,BOULDER,CO,5271,40.06,-105.17,5.5,5,5,6.5,5,5,3,2,0.5,T,M,T,T,0,0,0,0,0,0,0,0,M,0,0,0,0,M,0,0,0,0
US1COBO0135,BOULDER 5.4 ESE,BOULDER,CO,5514,39.99,-105.17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
USC00050909,BRECKENRIDGE,SUMMIT,CO,9596,39.49,-106.04,42,41,42,44,43,42,41,39,38,37,37,37,38,38,36,34,33,32,33,29,27,24,21,22,23,23,20,19,18,16,14
US1COSU0067,BRECKENRIDGE 1.9 SSE,SUMMIT,CO,9885,39.48,-106.03,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.5,30.5,M,M,M,M,M,M,25.5,M,M,M,M,M,M,23.5,M
US1COSU0040,BRECKENRIDGE 3.3 SE,SUMMIT,CO,10804,39.47,-106.01,M,M,M,M,M,M,M,M,M,M,M,29.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00050945,BRIGGSDALE,WELD,CO,4861,40.63,-104.33,M,M,M,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COWE0093,BRIGGSDALE 11 S,WELD,CO,4786,40.48,-104.31,M,M,M,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAD0087,BRIGHTON 1.7 ESE,ADAMS,CO,5065,39.98,-104.79,M,M,M,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.5,M,M,M,M,M,M
US1COAD0120,BRIGHTON 2.1 NNW,ADAMS,CO,4931,39.98,-104.81,3.5,3,3,5,4,4,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAD0171,BRIGHTON 2.7 ESE,ADAMS,CO,5103,39.95,-104.75,M,M,M,3.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00050950,BRIGHTON 3 SE,ADAMS,CO,5015,39.94,-104.84,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0
US1COAD0123,BRIGHTON 4.0 WNW,ADAMS,CO,5110,39.97,-104.87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M
US1COBR0013,BROOMFIELD 1.1 NE,BROOMFIELD,CO,5422,39.94,-105.08,9,9,7,9,8,8,5.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COBO0002,BROOMFIELD 1.2 NE,BOULDER,CO,5458,39.94,-105.08,9.5,9,7,8.5,7.5,7,4.5,3,1.5,0.5,T,T,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1COBR0024,BROOMFIELD 1.3 SSW,BROOMFIELD,CO,5404,39.93,-105.07,M,M,M,3.5,3,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBR0036,BROOMFIELD 1.3 SW,BROOMFIELD,CO,5419,39.93,-105.08,10,9,8,9,7.5,7,5,3,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBR0023,BROOMFIELD 1.6 ENE,BROOMFIELD,CO,5273,39.95,-105.03,M,M,M,4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COBR0025,BROOMFIELD 1.7 WSW,BROOMFIELD,CO,5440,39.93,-105.09,7,7,5.5,7.5,7.5,5,4,1,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COJF0072,BROOMFIELD 2.3 SSW,JEFFERSON,CO,5435,39.88,-105.11,13,13,10,9,8.5,M,M,M,M,M,M,M,T,T,0,0,M,0,0,0,0,0,0,M,0,0,M,0,0,0,0
